_id,key,value
0027582000,dimensions,"Height: 9.25 Inches, Length: 7.25 Inches, Width: 0.75 Inches"
0027582000,isbn13,9780027582000
0027582000,msrp,22.95
0027582000,isbn,0027582000
0027582000,isbn10,0027582000
0027617319,edition,"Revised, Expanded, Subsequent"
0027617319,dimensions,"Height: 11 Inches, Length: 8.5 Inches, Weight: 1.873929227 Pounds, Width: 0.8 Inches"
0027617319,isbn13,9780027617313
0027617319,msrp,15.25
0027617319,isbn,0027617319
0027617319,isbn10,0027617319
0028604199,dimensions,Weight: 0.45 Pounds
0028604199,isbn13,9780028604190
0028604199,msrp,0.00
0028604199,isbn,0028604199
0028604199,isbn10,0028604199
0028608488,edition,1
0028608488,dimensions,"Height: 9.2476193 Inches, Length: 6.1177043 Inches, Weight: 0.77602716224 Pounds, Width: 0.499999 Inches"
0028608488,isbn13,9780028608488
0028608488,msrp,14.95
0028608488,isbn,0028608488
0028608488,isbn10,0028608488
0028616464,edition,'97-
0028616464,dimensions,"Height: 8.75 Inches, Length: 1 Inches, Width: 5 Inches"
0028616464,isbn13,9780028616469
0028616464,msrp,19.95
0028616464,isbn,0028616464
0028616464,isbn10,0028616464
002863022X,edition,1
002863022X,dimensions,"Height: 8.429117 Inches, Length: 5.098415 Inches, Weight: 0.99869404686 Pounds, Width: 0.846455 Inches"
002863022X,isbn13,9780028630229
002863022X,msrp,1.99
002863022X,isbn,002863022X
002863022X,isbn10,002863022X
0028810384,edition,1st Printing
0028810384,dimensions,"Height: 9.61 Inches, Length: 6.48 Inches, Width: 0.99 Inches"
0028810384,isbn13,9780028810386
0028810384,msrp,6.3
0028810384,isbn,0028810384
0028810384,isbn10,0028810384
0029066824,dimensions,"Height: 9.5 Inches, Length: 6.25 Inches, Weight: 0.00220462262 Pounds, Width: 0.75 Inches"
0029066824,isbn13,9780029066829
0029066824,msrp,0.00
0029066824,isbn,0029066824
0029066824,isbn10,0029066824
0029106958,dimensions,"Height: 9.5 Inches, Length: 6.5 Inches, Weight: 1.06042348022 Pounds, Width: 1 Inches"
0029106958,isbn13,9780029106952
0029106958,msrp,22.95
0029106958,isbn,0029106958
0029106958,isbn10,0029106958
0029131723,dimensions,"Height: 9.5 Inches, Length: 6.5 Inches, Weight: 1.37127526964 Pounds, Width: 1.25 Inches"
0029131723,isbn13,9780029131725
0029131723,msrp,24.95
0029131723,isbn,0029131723
0029131723,isbn10,0029131723
002914180X,edition,First Edition
002914180X,dimensions,"Height: 9.75 Inches, Length: 6.5 Inches, Weight: 1.43741394824 Pounds, Width: 1 Inches"
002914180X,isbn13,9780029141809
002914180X,msrp,0.00
002914180X,isbn,002914180X
002914180X,isbn10,002914180X
0029166764,edition,Illustrated
0029166764,dimensions,"Height: 9.5 Inches, Length: 1 Inches, Weight: 0.88405367062 Pounds, Width: 6.25 Inches"
0029166764,isbn13,9780029166765
0029166764,msrp,17.95
0029166764,isbn,0029166764
0029166764,isbn10,0029166764
0029234905,edition,1st
0029234905,dimensions,Weight: 2.55 Pounds
0029234905,isbn13,9780029234907
0029234905,msrp,24.95
0029234905,isbn,0029234905
0029234905,isbn10,0029234905
0029316006,edition,1st
0029316006,dimensions,Weight: 0.79 Pounds
0029316006,isbn13,9780029316009
0029316006,msrp,0.00
0029316006,isbn,0029316006
0029316006,isbn10,0029316006
0029316200,edition,1st
0029316200,dimensions,"Height: 9.75 Inches, Length: 6.75 Inches, Weight: 1.543235834 Pounds, Width: 1 Inches"
0029316200,isbn13,9780029316207
0029316200,msrp,27.95
0029316200,isbn,0029316200
0029316200,isbn10,0029316200
0029344301,edition,First Edition
0029344301,dimensions,"Height: 9.75 Inches, Length: 6.5 Inches, Weight: 1.543235834 Pounds, Width: 1.5 Inches"
0029344301,isbn13,9780029344309
0029344301,msrp,27.95
0029344301,isbn,0029344301
0029344301,isbn10,0029344301
0029345707,edition,2nd
0029345707,dimensions,"Height: 9.25 Inches, Length: 1.3 Inches, Weight: 1.10451593262 Pounds, Width: 6.12 Inches"
0029345707,isbn13,9780029345702
0029345707,msrp,19.95
0029345707,isbn,0029345707
0029345707,isbn10,0029345707
0030037166,edition,1st
0030037166,isbn13,9780030037160
0030037166,msrp,0.00
0030037166,isbn,0030037166
0030037166,isbn10,0030037166
0030225140,edition,6
0030225140,dimensions,"Height: 9.25 Inches, Length: 0.5 Inches, Weight: 1.06042348022 Pounds, Width: 7.75 Inches"
0030225140,isbn13,9780030225147
0030225140,msrp,1.99
0030225140,isbn,0030225140
0030225140,isbn10,0030225140
0030445760,edition,1st
0030445760,dimensions,Weight: 1.75 Pounds
0030445760,isbn13,9780030445767
0030445760,msrp,1.99
0030445760,isbn,0030445760
0030445760,isbn10,0030445760
0030557364,edition,1
0030557364,dimensions,"Height: 9.25 Inches, Length: 0.25 Inches, Weight: 0.60186197526 Pounds, Width: 6.25 Inches"
0030557364,isbn13,9780030557361
0030557364,msrp,0.00
0030557364,isbn,0030557364
0030557364,isbn10,0030557364
0030613728,edition,1st
0030613728,isbn13,9780030613722
0030613728,msrp,0.00
0030613728,isbn,0030613728
0030613728,isbn10,0030613728
0030686784,edition,1st
0030686784,dimensions,Weight: 1.85 Pounds
0030686784,isbn13,9780030686788
0030686784,msrp,0.00
0030686784,isbn,0030686784
0030686784,isbn10,0030686784
0030867444,dimensions,Weight: 1.01 Pounds
0030867444,isbn13,9780030867446
0030867444,msrp,5.95
0030867444,isbn,0030867444
0030867444,isbn10,0030867444
0030914566,edition,1st
0030914566,dimensions,Weight: 1 Pounds
0030914566,isbn13,9780030914560
0030914566,msrp,0.00
0030914566,isbn,0030914566
0030914566,isbn10,0030914566
0044421931,edition,Reprint
0044421931,dimensions,"xv, 247 p. ; 22 cm."
0044421931,isbn13,9780044421931
0044421931,msrp,0.00
0044421931,isbn,0044421931
0044421931,isbn10,0044421931
0060004339,edition,Reprint
0060004339,dimensions,"Height: 8 Inches, Length: 5.3125 Inches, Weight: 0.63 Pounds, Width: 0.720721 Inches"
0060004339,isbn13,9780060004330
0060004339,msrp,11.12
0060004339,isbn,0060004339
0060004339,isbn10,0060004339
0060005777,edition,Illustrated
0060005777,dimensions,"Height: 8 Inches, Length: 5.3125 Inches, Weight: 0.50926782522 Pounds, Width: 0.720721 Inches"
0060005777,isbn13,9780060005771
0060005777,msrp,15.99
0060005777,isbn,0060005777
0060005777,isbn10,0060005777
0060006870,edition,Reprint
0060006870,dimensions,"Height: 7.13 Inches, Length: 5 Inches, Weight: 0.48 Pounds, Width: 0.57 Inches"
0060006870,isbn13,9780060006877
0060006870,msrp,13.99
0060006870,isbn,0060006870
0060006870,isbn10,0060006870
0060013486,edition,Reprint
0060013486,dimensions,"Height: 6.625 Inches, Length: 4.1875 Inches, Weight: 0.3 Pounds, Width: 0.72 Inches"
0060013486,isbn13,9780060013486
0060013486,msrp,3.99
0060013486,isbn,0060013486
0060013486,isbn10,0060013486
0060081597,edition,Reprint
0060081597,dimensions,"Height: 8 Inches, Length: 5.3125 Inches, Weight: 0.89 Pounds, Width: 1.26126 Inches"
0060081597,isbn13,9780060081591
0060081597,msrp,16.99
0060081597,isbn,0060081597
0060081597,isbn10,0060081597
0060086661,edition,1st
0060086661,dimensions,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 1.58 Pounds, Width: 0.97 Inches"
0060086661,isbn13,9780060086664
0060086661,msrp,1.99
0060086661,isbn,0060086661
0060086661,isbn10,0060086661
0060092149,edition,Hardcover
0060092149,dimensions,"Height: 6.75 inches, Length: 4.1875 inches, Weight: 0.41446905256 Pounds, Width: 0.96 inches"
0060092149,isbn13,9780060092146
0060092149,msrp,1.99
0060092149,isbn,0060092149
0060092149,isbn10,0060092149
0060093137,edition,Dgs
0060093137,dimensions,"Height: 7.625 Inches, Length: 5.125 Inches, Weight: 0.2 Pounds, Width: 0 Inches"
0060093137,isbn13,9780060093136
0060093137,msrp,4.99
0060093137,isbn,0060093137
0060093137,isbn10,0060093137
0060097973,edition,First Edition
0060097973,dimensions,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 0.8 Pounds, Width: 0.81 Inches"
0060097973,isbn13,9780060097974
0060097973,msrp,23.95
0060097973,isbn,0060097973
0060097973,isbn10,0060097973
0060114991,edition,Book Club
0060114991,dimensions,Weight: 0.85 Pounds
0060114991,isbn13,9780060114992
0060114991,msrp,0.00
0060114991,isbn,0060114991
0060114991,isbn10,0060114991
006013514X,edition,1st
006013514X,dimensions,Weight: 3 Pounds
006013514X,isbn13,9780060135140
006013514X,msrp,0.00
006013514X,isbn,006013514X
006013514X,isbn10,006013514X
0060142278,edition,1st
0060142278,dimensions,Weight: 0.94 Pounds
0060142278,isbn13,9780060142278
0060142278,msrp,1.99
0060142278,isbn,0060142278
0060142278,isbn10,0060142278
0060142529,edition,1st
0060142529,dimensions,Weight: 3 Pounds
0060142529,isbn13,9780060142520
0060142529,msrp,0.00
0060142529,isbn,0060142529
0060142529,isbn10,0060142529
0060157291,edition,1st
0060157291,dimensions,Weight: 1.05 Pounds
0060157291,isbn13,9780060157296
0060157291,msrp,16.95
0060157291,isbn,0060157291
0060157291,isbn10,0060157291
0060158301,edition,1st
0060158301,dimensions,Weight: 1.5 Pounds
0060158301,isbn13,9780060158309
0060158301,msrp,1.99
0060158301,isbn,0060158301
0060158301,isbn10,0060158301
0060158735,edition,1st
0060158735,dimensions,Weight: 1 Pounds
0060158735,isbn13,9780060158736
0060158735,msrp,1.99
0060158735,isbn,0060158735
0060158735,isbn10,0060158735
0060158891,edition,1st
0060158891,dimensions,Weight: 1 Pounds
0060158891,isbn13,9780060158897
0060158891,msrp,0.00
0060158891,isbn,0060158891
0060158891,isbn10,0060158891
0060159367,edition,1st
0060159367,dimensions,Weight: 1 Pounds
0060159367,isbn13,9780060159368
0060159367,msrp,17.95
0060159367,isbn,0060159367
0060159367,isbn10,0060159367
0060163100,edition,Sprl/Rgbnd
0060163100,dimensions,"Height: 10 Inches, Length: 1.25 Inches, Weight: 1.0802650838 Pounds, Width: 7.5 Inches"
0060163100,isbn13,9780060163105
0060163100,msrp,18.95
0060163100,isbn,0060163100
0060163100,isbn10,0060163100
0060164662,edition,1
0060164662,dimensions,"Height: 9.25 Inches, Length: 6.125 Inches, Weight: 2.75 Pounds, Width: 2.17 Inches"
0060164662,isbn13,9780060164669
0060164662,msrp,34.95
0060164662,isbn,0060164662
0060164662,isbn10,0060164662
0060166541,edition,1st
0060166541,dimensions,"Height: 9.5 Inches, Length: 0.7 Inches, Weight: 0.85 Pounds, Width: 6 Inches"
0060166541,isbn13,9780060166540
0060166541,msrp,20
0060166541,isbn,0060166541
0060166541,isbn10,0060166541
0060166673,edition,1st
0060166673,dimensions,"Height: 8.5 Inches, Length: 5.75 Inches, Weight: 1.1 Pounds, Width: 1.25 Inches"
0060166673,isbn13,9780060166670
0060166673,msrp,0.00
0060166673,isbn,0060166673
0060166673,isbn10,0060166673
0060167785,edition,1st
0060167785,dimensions,"Height: 9.5 Inches, Length: 1.7 Inches, Weight: 2.15 Pounds, Width: 6.3 Inches"
0060167785,isbn13,9780060167783
0060167785,msrp,0.00
0060167785,isbn,0060167785
0060167785,isbn10,0060167785
0060168404,edition,Spi
0060168404,dimensions,"Height: 9.5 Inches, Length: 7 Inches, Width: 1 Inches"
0060168404,isbn13,9780060168407
0060168404,msrp,0.00
0060168404,isbn,0060168404
0060168404,isbn10,0060168404
0060169028,edition,1st
0060169028,dimensions,"Height: 6.25 Inches, Length: 4 Inches, Weight: 0.3 Pounds, Width: 0.5 Inches"
0060169028,isbn13,9780060169022
0060169028,msrp,7
0060169028,isbn,0060169028
0060169028,isbn10,0060169028
0060171049,edition,1st
0060171049,dimensions,"Height: 9.5 Inches, Length: 6.75 Inches, Width: 1.5 Inches"
0060171049,isbn13,9780060171049
0060171049,msrp,1.99
0060171049,isbn,0060171049
0060171049,isbn10,0060171049
0060171146,edition,1st
0060171146,dimensions,"Height: 9.5 Inches, Length: 6.5 Inches, Weight: 1.63 Pounds, Width: 1.5 Inches"
0060171146,isbn13,9780060171148
0060171146,msrp,0.00
0060171146,isbn,0060171146
0060171146,isbn10,0060171146
0060171189,edition,1st
0060171189,dimensions,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 1.43 Pounds, Width: 1.25 Inches"
0060171189,isbn13,9780060171186
0060171189,msrp,22
0060171189,isbn,0060171189
0060171189,isbn10,0060171189
0060171723,edition,1st
0060171723,dimensions,"Height: 6.5 Inches, Length: 5.5 Inches, Weight: 0.75 Pounds, Width: 1 Inches"
0060171723,isbn13,9780060171728
0060171723,msrp,1.99
0060171723,isbn,0060171723
0060171723,isbn10,0060171723
0060172622,edition,1
0060172622,dimensions,"Height: 8.5 Inches, Length: 5.75 Inches, Weight: 1 Pounds, Width: 1.5 Inches"
0060172622,isbn13,9780060172626
0060172622,msrp,18
0060172622,isbn,0060172622
0060172622,isbn10,0060172622
0060172703,edition,1st U.S. ed
0060172703,dimensions,"Height: 9.5 Inches, Length: 6.75 Inches, Weight: 2.75 Pounds, Width: 2.5 Inches"
0060172703,isbn13,9780060172701
0060172703,msrp,30
0060172703,isbn,0060172703
0060172703,isbn10,0060172703
0060173416,edition,1st
0060173416,dimensions,"Height: 9.5 Inches, Length: 7 Inches, Weight: 1.3 Pounds, Width: 1 Inches"
0060173416,isbn13,9780060173418
0060173416,msrp,24
0060173416,isbn,0060173416
0060173416,isbn10,0060173416
0060173963,edition,1st
0060173963,dimensions,"Height: 9.25 Inches, Length: 6.125 Inches, Weight: 2 Pounds, Width: 1.57 Inches"
0060173963,isbn13,9780060173968
0060173963,msrp,0.00
0060173963,isbn,0060173963
0060173963,isbn10,0060173963
0060174862,edition,1st
0060174862,dimensions,"Height: 10 Inches, Length: 6.75 Inches, Weight: 1 Pounds, Width: 1 Inches"
0060174862,isbn13,9780060174866
0060174862,msrp,24
0060174862,isbn,0060174862
0060174862,isbn10,0060174862
0060175028,edition,1st
0060175028,dimensions,"Height: 9.5 Inches, Length: 6.5 Inches, Weight: 1.32 Pounds, Width: 1.5 Inches"
0060175028,isbn13,9780060175023
0060175028,msrp,23
0060175028,isbn,0060175028
0060175028,isbn10,0060175028
0060175281,edition,1
0060175281,dimensions,"Height: 9.25 Inches, Length: 6.125 Inches, Weight: 1.1 Pounds, Width: 0.777473 Inches"
0060175281,isbn13,9780060175283
0060175281,msrp,23
0060175281,isbn,0060175281
0060175281,isbn10,0060175281
0060175621,edition,First Edition
0060175621,dimensions,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 1 Pounds, Width: 0.97 Inches"
0060175621,isbn13,9780060175627
0060175621,msrp,25
0060175621,isbn,0060175621
0060175621,isbn10,0060175621
0060175818,edition,1st
0060175818,dimensions,"Height: 9.25 Inches, Length: 6.125 Inches, Weight: 1.12 Pounds, Width: 1.04121 Inches"
0060175818,isbn13,9780060175818
0060175818,msrp,0.00
0060175818,isbn,0060175818
0060175818,isbn10,0060175818
0060175834,edition,1st
0060175834,dimensions,"Height: 10 Inches, Length: 7 Inches, Weight: 1.00089866948 Pounds, Width: 1.02838 Inches"
0060175834,isbn13,9780060175832
0060175834,msrp,37.5
0060175834,isbn,0060175834
0060175834,isbn10,0060175834
0060175931,edition,1st
0060175931,dimensions,"Height: 9.25 Inches, Length: 6.125 Inches, Weight: 1.4219815899 Pounds, Width: 1.13 Inches"
0060175931,isbn13,9780060175931
0060175931,msrp,25
0060175931,isbn,0060175931
0060175931,isbn10,0060175931
0060176598,edition,1st
0060176598,dimensions,"Height: 9.5 Inches, Length: 6.75 Inches, Weight: 1 Pounds, Width: 1.25 Inches"
0060176598,isbn13,9780060176594
0060176598,msrp,0.00
0060176598,isbn,0060176598
0060176598,isbn10,0060176598
0060177586,edition,1
0060177586,dimensions,Weight: 1.75 Pounds
0060177586,isbn13,9780060177584
0060177586,msrp,1.99
0060177586,isbn,0060177586
0060177586,isbn10,0060177586
0060182261,edition,1st U.S. ed
0060182261,dimensions,"Height: 9.75 Inches, Length: 6.75 Inches, Weight: 1.66 Pounds, Width: 1.5 Inches"
0060182261,isbn13,9780060182267
0060182261,msrp,2.98
0060182261,isbn,0060182261
0060182261,isbn10,0060182261
0060182571,edition,1st
0060182571,dimensions,"Height: 8.75 Inches, Length: 6.75 Inches, Weight: 3.8 Pounds, Width: 1.25 Inches"
0060182571,isbn13,9780060182571
0060182571,msrp,0.00
0060182571,isbn,0060182571
0060182571,isbn10,0060182571
0060183829,edition,1
0060183829,dimensions,"Height: 9.75 Inches, Length: 6.25 Inches, Weight: 1.08 Pounds, Width: 1.25 Inches"
0060183829,isbn13,9780060183820
0060183829,msrp,24
0060183829,isbn,0060183829
0060183829,isbn10,0060183829
0060187506,edition,1st
0060187506,dimensions,"Height: 8 Inches, Length: 5.5 Inches, Weight: 0.8 Pounds, Width: 1 Inches"
0060187506,isbn13,9780060187507
0060187506,msrp,22
0060187506,isbn,0060187506
0060187506,isbn10,0060187506
0060187778,edition,1st
0060187778,dimensions,"Height: 9.25 Inches, Length: 6.125 Inches, Weight: 1 Pounds, Width: 1.29 Inches"
0060187778,isbn13,9780060187774
0060187778,msrp,24
0060187778,isbn,0060187778
0060187778,isbn10,0060187778
0060187824,edition,1st
0060187824,dimensions,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 1 Pounds, Width: 0.997253 Inches"
0060187824,isbn13,9780060187828
0060187824,msrp,25
0060187824,isbn,0060187824
0060187824,isbn10,0060187824
0060187905,edition,1st ed
0060187905,dimensions,"Height: 8.5 Inches, Length: 6.5 Inches, Weight: 1.35 Pounds, Width: 1.25 Inches"
0060187905,isbn13,9780060187903
0060187905,msrp,20
0060187905,isbn,0060187905
0060187905,isbn10,0060187905
0060188804,dimensions,"Height: 9.25 Inches, Length: 6.125 Inches, Weight: 1.7 Pounds, Width: 0.901852 Inches"
0060188804,isbn13,9780060188801
0060188804,msrp,26
0060188804,isbn,0060188804
0060188804,isbn10,0060188804
0060190337,edition,1st
0060190337,dimensions,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 1.1 Pounds, Width: 1.25 Inches"
0060190337,isbn13,9780060190330
0060190337,msrp,20
0060190337,isbn,0060190337
0060190337,isbn10,0060190337
0060190361,edition,1st
0060190361,dimensions,"Height: 9.5 Inches, Length: 6.5 Inches, Weight: 1 Pounds, Width: 1.5 Inches"
0060190361,isbn13,9780060190361
0060190361,msrp,27.5
0060190361,isbn,0060190361
0060190361,isbn10,0060190361
0060193174,edition,1
0060193174,dimensions,"Height: 9.25 Inches, Length: 6.125 Inches, Weight: 1.4770971554 Pounds, Width: 1.13 Inches"
0060193174,isbn13,9780060193171
0060193174,msrp,27.5
0060193174,isbn,0060193174
0060193174,isbn10,0060193174
0060193867,edition,1st
0060193867,dimensions,"Height: 9.25 Inches, Length: 6.125 Inches, Weight: 1 Pounds, Width: 1.01 Inches"
0060193867,isbn13,9780060193867
0060193867,msrp,25
0060193867,isbn,0060193867
0060193867,isbn10,0060193867
0060194219,edition,1st
0060194219,dimensions,"Height: 9.25 Inches, Length: 6.125 Inches, Weight: 1 Pounds, Width: 1.01 Inches"
0060194219,isbn13,9780060194215
0060194219,msrp,24
0060194219,isbn,0060194219
0060194219,isbn10,0060194219
0060194979,edition,1
0060194979,dimensions,"Height: 9.125 Inches, Length: 6.125 Inches, Weight: 1.4 Pounds, Width: 1.13 Inches"
0060194979,isbn13,9780060194970
0060194979,msrp,0.00
0060194979,isbn,0060194979
0060194979,isbn10,0060194979
0060195231,edition,1
0060195231,dimensions,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 1 Pounds, Width: 0.97 Inches"
0060195231,isbn13,9780060195236
0060195231,msrp,24
0060195231,isbn,0060195231
0060195231,isbn10,0060195231
0060196254,edition,1st
0060196254,dimensions,"Height: 9.25 Inches, Length: 6.125 Inches, Weight: 1 Pounds, Width: 1.01 Inches"
0060196254,isbn13,9780060196257
0060196254,msrp,0.00
0060196254,isbn,0060196254
0060196254,isbn10,0060196254
0060199660,edition,~
0060199660,dimensions,"Height: 9.25 Inches, Length: 6.125 Inches, Width: 1.18081 Inches"
0060199660,isbn13,9780060199661
0060199660,msrp,0.00
0060199660,isbn,0060199660
0060199660,isbn10,0060199660
006020186X,edition,Revised
006020186X,dimensions,"Height: 9 Inches, Length: 6 Inches, Weight: 0.6 Pounds, Width: 0.38 Inches"
006020186X,isbn13,9780060201869
006020186X,msrp,1.99
006020186X,isbn,006020186X
006020186X,isbn10,006020186X
0060212268,edition,1st
